truckId,truckName,businessPhone,normalizedPhone,status,confidence,matchedSourceUrls,conflictingPhones,checkedSourceCount,sourceErrorCount,notes
seed-dmv-prod-3-hermanos-food-truck-taqueria-y-pupuseria-takoma-park-maryland,3 Hermanos: Food Truck Taqueria Y Pupuseria,(240) 481-1390,2404811390,verified_on_current_source,high,https://www.restaurantji.com/md/takoma-park/3-hermanos-food-truck-taqueria-y-pupuseria-/,,2,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-808-grinds-food-cart-gigantic-brewery-5226-se-26th-ave-portland-oregon-97202,808 Grinds Food Cart – Gigantic Brewery,(503) 941-6637,5039416637,verified_on_current_source,high,https://808grinds.com/ | https://www.restaurantji.com/or/portland/808-grinds-gigantic-/ | https://www.restaurantji.com/cache/business_page/or/portland/808-grinds-gigantic-/business.json,(503) 477-9976 | (503) 992-6339 | (971) 438-6280,4,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-ada-s-kitchen-on-wheels-burke-virginia,Ada's Kitchen On Wheels,(571) 296-6056,5712966056,verified_on_current_source,high,https://www.restaurantji.com/va/burke/adas-kitchen-on-wheels-/,,2,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-al-shami-food-truck-sugarland-11836-s-texas-6-sugar-land-texas-77498,Al-Shami (Food Truck) Sugarland,(713) 373-9389,7133739389,verified_on_current_source,high,https://www.restaurantji.com/tx/sugar-land/al-shami-food-truck-sugarland-/ | https://www.restaurantji.com/cache/business_page/tx/sugar-land/al-shami-food-truck-sugarland-/business.json,(643) 848-4999 | (210) 859-9999,5,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-alos-tacos-food-truck-2001-w-43rd-st-chicago-illinois-60609,Alos Tacos Food Truck,(773) 937-7647,7739377647,verified_on_current_source,high,https://sites.google.com/view/alostacosfoodtruckcom/home | https://www.restaurantji.com/il/chicago/alos-tacos-/ | https://www.restaurantji.com/cache/business_page/il/chicago/alos-tacos-/business.json,,4,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-american-and-mexican-tasty-flavors-food-truck-111-summit-st-hartford-connecticut-06114,American & Mexican Tasty Flavors Food Truck,(860) 985-3532,8609853532,verified_on_current_source,high,https://www.restaurantji.com/ct/hartford/american-and-mexican-tasty-flavors-food-truck-/ | https://www.restaurantji.com/cache/business_page/ct/hartford/american-and-mexican-tasty-flavors-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-amrutha-food-truck-ellicott-city-maryland,Amrutha Food Truck,(443) 563-0404,4435630404,verified_on_current_source,high,https://www.restaurantji.com/md/ellicott-city/amrutha-/,,2,1,Stored phone appears on at least one linked current source page.
seed-dmv-prod-angel-s-tipicos-food-truck-arlington-virginia,Angel's Tipicos Food Truck,(301) 266-3558,3012663558,verified_on_current_source,high,https://www.restaurantji.com/va/arlington/angels-tipicos-food-truck-/,,3,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-angelic-s-kitchen-food-truck-charlottesville-virginia,Angelic’s Kitchen Food Truck,(434) 962-6695,4349626695,verified_on_current_source,high,https://www.restaurantji.com/va/charlottesville/angelic-s-kitchen-food-truck-/,,3,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-antojitos-mexicanos-betel-mexican-food-truck-rosedale-maryland,Antojitos Mexicanos Betel - Mexican Food Truck,(443) 979-6515,4439796515,verified_on_current_source,high,https://www.restaurantji.com/md/rosedale/antojitos-mexicanos-betel-mexican-food-truck-/,,2,0,Stored phone appears on at least one linked current source page.
x1r43UqrviaUtJ86kiVm,Arts Pastramis,(310) 242-1059,3102421059,not_found_on_linked_sources,review,,,2,0,Stored phone is format-valid but was not found on fetched linked source pages.
seed-dmv-prod-ayat-halal-food-cart-arlington-virginia,Ayat Halal Food Cart,(703) 624-0212,7036240212,verified_on_current_source,high,https://www.restaurantji.com/va/arlington/metro-halal-food-cart-/,,2,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-azulindo-food-truck-4645-vernor-w-detroit-michigan-48209,Azulindo food truck,(313) 518-4339,3135184339,verified_on_current_source,high,https://www.restaurantji.com/mi/detroit/azulindo-food-truck-/ | https://www.restaurantji.com/cache/business_page/mi/detroit/azulindo-food-truck-/business.json,,6,0,Stored phone appears on at least one linked current source page.
qV12x5TEwZANLZiPcqD1,B-More Mojo,(410) 596-7307,4105967307,verified_on_current_source,high,https://bmoremojo.com/,,3,1,Stored phone appears on at least one linked current source page.
seed-dmv-prod-b-more-mojo-food-truck-bmore-mojo-kitchen-and-carryout-owings-mills-maryland,B-More Mojo Food Truck/Bmore Mojo Kitchen & Carryout,(410) 567-0356,4105670356,verified_on_current_source,high,https://www.restaurantji.com/md/owings-mills/b-more-mojo-food-truck-bmore-mojo-kitchen-and-carryout-/,(410) 596-7307,2,1,Stored phone appears on at least one linked current source page.
