truckId,truckName,reachedOut,contactType,businessPhone,websiteUrl,socialLinks,currentAddress,profileUrl,menuStatus,menuItemCount,menuPhotoCount,firstMenuItems,phoneAuditStatus,phoneAuditConfidence,phoneAuditCandidates,phoneAuditMatchedSourceUrls,phoneAuditCheckedSourceCount,phoneAuditSourceErrorCount,phoneAuditNotes,outreachStatus,notes
seed-dmv-prod-3-hermanos-food-truck-taqueria-y-pupuseria-takoma-park-maryland,3 Hermanos: Food Truck Taqueria Y Pupuseria,false,sms_or_call,(240) 481-1390,,https://www.instagram.com/3hermanosfoodtruck/,"6907 New Hampshire Ave Takoma Park, Maryland 20912",https://www.ftf-foodtruckfinder.com/truck/?name=3+Hermanos%3A+Food+Truck+Taqueria+Y+Pupuseria&id=seed-dmv-prod-3-hermanos-food-truck-taqueria-y-pupuseria-takoma-park-maryland,itemized_menu,15,2,Salmon a la Plancha; Camarones Entomatados; Sopa de Camarones,verified_on_current_source,high,,https://www.restaurantji.com/md/takoma-park/3-hermanos-food-truck-taqueria-y-pupuseria-/,2,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-808-grinds-food-cart-gigantic-brewery-5226-se-26th-ave-portland-oregon-97202,808 Grinds Food Cart – Gigantic Brewery,false,sms_or_call,(503) 941-6637,https://www.808grinds.com/,https://www.808grinds.com/ | https://www.instagram.com/808grinds/,"5226 SE 26th Ave Portland, Oregon 97202",https://www.ftf-foodtruckfinder.com/truck/?name=808+Grinds+Food+Cart+%E2%80%93+Gigantic+Brewery&id=seed-us-curated-100-808-grinds-food-cart-gigantic-brewery-5226-se-26th-ave-portland-oregon-97202,menu_photo_only,0,4,,verified_on_current_source,high,(503) 477-9976 | (503) 992-6339 | (971) 438-6280,https://808grinds.com/ | https://www.restaurantji.com/or/portland/808-grinds-gigantic-/ | https://www.restaurantji.com/cache/business_page/or/portland/808-grinds-gigantic-/business.json,4,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-ada-s-kitchen-on-wheels-burke-virginia,Ada's Kitchen On Wheels,false,sms_or_call,(571) 296-6056,https://curbsidekitchen.com/food-truck/70/,https://curbsidekitchen.com/food-truck/70/,"5795 Burke Centre Pkwy Burke, Virginia 22015",https://www.ftf-foodtruckfinder.com/truck/?name=Ada%27s+Kitchen+On+Wheels&id=seed-dmv-prod-ada-s-kitchen-on-wheels-burke-virginia,itemized_menu,5,1,Fried Chicken + Waffle; Fried Chicken on a Biscuit; Mac + Cheese Bowl small,verified_on_current_source,high,,https://www.restaurantji.com/va/burke/adas-kitchen-on-wheels-/,2,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-al-shami-food-truck-sugarland-11836-s-texas-6-sugar-land-texas-77498,Al-Shami (Food Truck) Sugarland,false,sms_or_call,(713) 373-9389,https://linktr.ee/alshamihtx,https://linktr.ee/alshamihtx | https://www.facebook.com/alshamihtx/ | https://www.instagram.com/alshamihtx/,"11836 S Texas 6 Sugar Land, Texas 77498",https://www.ftf-foodtruckfinder.com/truck/?name=Al-Shami+%28Food+Truck%29+Sugarland&id=seed-us-curated-100-al-shami-food-truck-sugarland-11836-s-texas-6-sugar-land-texas-77498,menu_photo_only,0,4,,verified_on_current_source,high,(643) 848-4999 | (210) 859-9999,https://www.restaurantji.com/tx/sugar-land/al-shami-food-truck-sugarland-/ | https://www.restaurantji.com/cache/business_page/tx/sugar-land/al-shami-food-truck-sugarland-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-alos-tacos-food-truck-2001-w-43rd-st-chicago-illinois-60609,Alos Tacos Food Truck,false,sms_or_call,(773) 937-7647,https://sites.google.com/view/alostacosfoodtruckcom/home,https://sites.google.com/view/alostacosfoodtruckcom/home | https://www.facebook.com/AlosTacosFoodtruck/ | https://www.instagram.com/alostacosfoodtruck/,"2001 W 43rd St Chicago, Illinois 60609",https://www.ftf-foodtruckfinder.com/truck/?name=Alos+Tacos+Food+Truck&id=seed-us-curated-100-alos-tacos-food-truck-2001-w-43rd-st-chicago-illinois-60609,menu_photo_only,0,4,,verified_on_current_source,high,,https://sites.google.com/view/alostacosfoodtruckcom/home | https://www.restaurantji.com/il/chicago/alos-tacos-/ | https://www.restaurantji.com/cache/business_page/il/chicago/alos-tacos-/business.json,4,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-american-and-mexican-tasty-flavors-food-truck-111-summit-st-hartford-connecticut-06114,American & Mexican Tasty Flavors Food Truck,false,sms_or_call,(860) 985-3532,,https://www.facebook.com/pages/category/Product-Service/Food-truck-american-mexican-tasty-flavors-113115323754727,"111 Summit St Hartford, Connecticut 06114",https://www.ftf-foodtruckfinder.com/truck/?name=American+%26+Mexican+Tasty+Flavors+Food+Truck&id=seed-us-curated-100-american-and-mexican-tasty-flavors-food-truck-111-summit-st-hartford-connecticut-06114,menu_photo_only,0,4,,verified_on_current_source,high,,https://www.restaurantji.com/ct/hartford/american-and-mexican-tasty-flavors-food-truck-/ | https://www.restaurantji.com/cache/business_page/ct/hartford/american-and-mexican-tasty-flavors-food-truck-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-amrutha-food-truck-ellicott-city-maryland,Amrutha Food Truck,false,sms_or_call,(443) 563-0404,https://www.amruthabistro.com/,https://www.amruthabistro.com/ | https://www.facebook.com/amruthabistro/ | https://www.instagram.com/amrutha_mddosa_foodtruck/,"8720 Baltimore National Pike Ellicott City, Maryland 21043",https://www.ftf-foodtruckfinder.com/truck/?name=Amrutha+Food+Truck&id=seed-dmv-prod-amrutha-food-truck-ellicott-city-maryland,itemized_menu,16,2,Veg Biryani; Chicken Biryani; Chilli Chicken,verified_on_current_source,high,,https://www.restaurantji.com/md/ellicott-city/amrutha-/,2,1,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-angel-s-tipicos-food-truck-arlington-virginia,Angel's Tipicos Food Truck,false,sms_or_call,(301) 266-3558,,https://www.facebook.com/AngelTipicos/ | https://www.instagram.com/angelstipicos/,"923 S George Mason Dr Arlington, Virginia 22203",https://www.ftf-foodtruckfinder.com/truck/?name=Angel%27s+Tipicos+Food+Truck&id=seed-dmv-prod-angel-s-tipicos-food-truck-arlington-virginia,menu_photo_only,0,1,,verified_on_current_source,high,,https://www.restaurantji.com/va/arlington/angels-tipicos-food-truck-/,3,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-angelic-s-kitchen-food-truck-charlottesville-virginia,Angelic’s Kitchen Food Truck,false,sms_or_call,(434) 962-6695,,https://www.facebook.com/p/Angelics-Kitchen-catering-100063884310087/,"1538 E High St Charlottesville, Virginia 22902",https://www.ftf-foodtruckfinder.com/truck/?name=Angelic%E2%80%99s+Kitchen+Food+Truck&id=seed-dmv-prod-angelic-s-kitchen-food-truck-charlottesville-virginia,itemized_menu,7,2,Soulful; Fun in the Park; Let's Have a Party,verified_on_current_source,high,,https://www.restaurantji.com/va/charlottesville/angelic-s-kitchen-food-truck-/,3,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-antojitos-mexicanos-betel-mexican-food-truck-rosedale-maryland,Antojitos Mexicanos Betel - Mexican Food Truck,false,sms_or_call,(443) 979-6515,,https://www.facebook.com/100085533766155/about/,"8200 Pulaski Hwy Rosedale, Maryland 21237",https://www.ftf-foodtruckfinder.com/truck/?name=Antojitos+Mexicanos+Betel+-+Mexican+Food+Truck&id=seed-dmv-prod-antojitos-mexicanos-betel-mexican-food-truck-rosedale-maryland,itemized_menu,7,2,Mexican Caesar Salad; Chicken Taco; Al Pastor Taco,verified_on_current_source,high,,https://www.restaurantji.com/md/rosedale/antojitos-mexicanos-betel-mexican-food-truck-/,2,0,Stored phone appears on at least one linked current source page.,ready_for_review,
